T	Rh	
°C	AW5@DS02	
	80kg/mol	
15.15	65.1666666666667	0.56862407030773
16.15	64.6333333333333	2.05264057577876
18.05	65.2666666666667	0.0577350269189593
19.05	64.4666666666667	1.20968315410827
20.05	64.7	0.5
21.05	63.3	0.793725393319378
22.05	64.5	0.78102496759067
23.05	64.3666666666667	0.757187779440039
24.05	62.6666666666667	1.95021366350801
24.983333333333	61.4	2.1
25.95	61.1666666666667	1.70098010962308
26.95	59.4	1.86815416922694
27.95	56.6	1.45258390463339
28.95	56.2333333333333	1.50111069989303
29.95	56.4333333333333	1.12398102000582
30.95	54.8	0.608276253029822
31.85	48.1	3.30454232837166
32.85	44.8666666666667	0.757187779440037
33.85	44.5333333333333	0.321455025366432
34.75	41.7333333333333	1.70391705588427
35.75	41.5666666666667	1.25830573921179
36.75	39.3666666666667	2.21434715736565
37.75	36.9	5.94306318324146
38.75	35.4333333333333	3.57957166897568
39.75	38.6666666666667	1.50443787951957
40.716666666667	39.9666666666667	0.635085296108589
41.75	39.3	0.519615242270662
42.65	39.3	0.692820323027553
43.65	38.4	2.10713075057055
44.65	39.7333333333333	0.568624070307733
45.65	40.1666666666667	0.737111479583199
46.65	39.6333333333333	0.757187779440037
47.55	39.3333333333333	0.838649708360608
48.55	39.9	0.17320508075689
49.55	40.2	0.173205080756886
50.516666666667	37.3	2.81602556806574
51.45	40.3	0.3605551275464
52.55	39.7333333333333	0.230940107675849
53.55	39.7666666666667	0.40414518843274
54.45	40.6333333333333	0.378593889720016
55.45	37.4666666666667	2.37977589981354
57.45	39.7666666666667	1.4742229591664
58.45	39.8333333333333	0.208166599946612
59.283333333333	39.9666666666667	1.36503968196289
60.15	37.0333333333333	2.96872587709497
61.15	40.3666666666667	0.550757054728611
62.15	37.1	5.82837884835914
63.05	40.2666666666667	0.416333199893228
64.05	38.8666666666667	1.95533458347499
